state,panel,class,total_acres,se_acres,ci_lo,ci_hi,pct_of_forested
ME,2019-2023,all forested,13025705.507597076,69049.87389404474,12890367.754764749,13161043.260429403,NA
ME,2019-2023,any LSOG,1991452.6291260694,98498.61964215281,1798395.33462745,2184509.9236246888,15.28863544446464
ME,2019-2023,LS+OG,267803.5496367769,38541.47493749553,192262.25875928567,343344.84051426814,2.055961955232167
ME,2019-2023,TLS,1723649.0794892926,93314.4939746384,1540752.6712990012,1906545.487679584,13.232673489232473
ME,2019-2023,LS,244100.81216479203,36747.90511968067,172074.91813021793,316126.70619936613,1.8739930211259834
ME,2019-2023,OG,23702.73747198488,11897.102553666704,384.4164667981422,47021.058477171624,0.18196893410618384
NH,2019-2023,all forested,3229911.5041936236,38027.01766333748,3155378.549573482,3304444.458813765,NA
NH,2019-2023,any LSOG,897619.9278508719,54901.563383722685,790012.8636187755,1005226.9920829684,27.790852061594514
NH,2019-2023,LS+OG,183664.2373364475,30323.573808673438,124230.03267144755,243098.44200144743,5.686355093567832
NH,2019-2023,TLS,713955.6905144246,51250.408131469616,613504.8905767441,814406.4904521051,22.104496968026684
NH,2019-2023,LS,170797.2433615197,29058.80654754587,113841.9825283298,227752.50419470962,5.287985232405331
NH,2019-2023,OG,12866.993974927786,9098.388480661311,-4965.847447168386,30699.835397023955,0.39836986116250095
VT,2019-2023,all forested,3057823.062062874,36705.93183313034,2985879.4356699386,3129766.6884558094,NA
VT,2019-2023,any LSOG,864649.476255744,60323.623591731994,746415.1740159492,982883.7784955387,28.276635328678324
VT,2019-2023,LS+OG,195729.9602995979,32189.477285133937,132638.58482073538,258821.33577846043,6.400957685483418
VT,2019-2023,TLS,668919.5159561462,55770.713183951615,559608.9181156011,778230.1137966913,21.875677643194912
VT,2019-2023,LS,188456.95573844333,31524.20865010296,126669.50678424153,250244.40469264513,6.163108587823461
VT,2019-2023,OG,7273.004561154577,7273.0045611545775,-6982.084378708395,21528.09350101755,0.23784909765995582
NY,2019-2023,all forested,11988518.946485624,98640.14798146779,11795184.256441947,12181853.6365293,NA
NY,2019-2023,any LSOG,3982776.6787929577,133377.92031888932,3721355.9549679346,4244197.402617981,33.22159056153045
NY,2019-2023,LS+OG,1096224.360656195,83576.30730844196,932414.7983316488,1260033.9229807414,9.143951521864576
NY,2019-2023,TLS,2886552.3181367624,124577.31160888752,2642380.7873833426,3130723.848890182,24.077639039665872
NY,2019-2023,LS,914111.2780202928,77924.62989094904,761379.0034340327,1066843.5526065528,7.624889130181173
NY,2019-2023,OG,182113.0826359024,35006.21427479718,113500.90265729991,250725.26261450487,1.5190623916834027
