state,CN,INVYR,ba_total,ba_large,sd_dia,max_dia,snag_tpa,STDAGE,potapov_rh95,v51_total
NY,511169844126144,2019,195.0061477109724,88.1905680470196,5.797958806418215,25.1,54.162414,121,19,10
ME,1184860517290487,2023,184.1883608293765,67.06047686698692,5.62074037138724,25,84.252644,124,21,9
NH,1191484881290487,2023,184.1234298053101,80.05979745019512,5.597278348849589,29.5,60.18046,130,22,9
NY,611077373126144,2020,213.1043065063841,133.9778479701996,9.17837710115504,37.7,42.126322,112,19,9
NY,611077457126144,2020,174.54134191807475,99.25435035275832,7.019373534153342,29.1,60.18046,103,20,9
NY,611077545126144,2020,237.5720415701395,113.87312928106309,8.032934467351161,26.2,18.054138,147,23,9
NY,1191495604290487,2023,193.47665080552304,118.46367334561933,6.747325158099135,26.2,36.108276,146,22,9
ME,509642058126144,2019,210.70141112569897,107.2334813558587,6.840188205885694,34.4,54.162414,69,20,8
ME,509642388126144,2019,191.1596554352869,88.93957573723247,5.7784041984249654,28.3,42.126322,80,19,8
ME,721819714290487,2021,159.78565958155272,65.4922215015894,5.283533500691236,25.5,72.21655200000001,81,18,8
ME,815194069290487,2022,225.62888406187932,91.61624432342268,5.5712235412009585,27.1,30.09023,85,23,8
ME,815194361290487,2022,256.1214931191806,127.29618734370372,7.323291556035182,30.1,84.252644,100,5,8
NH,721848643290487,2021,246.18894489021167,149.3151097354351,5.782994177496343,26.4,48.144368,92,21,8
VT,511267889126144,2019,215.38473488186725,88.91791293812904,6.6556664269279056,31.8,30.09023,103,22,8
NY,511169602126144,2019,162.62786675012003,83.60954248509971,6.003155589932068,28.3,12.036092,120,20,8
NY,511169781126144,2019,227.15328251446127,89.22513081632327,6.308883474126737,32.1,102.306782,70,22,8
NY,511169816126144,2019,171.1195796484864,114.78592086146712,5.957801243137508,24.3,24.072184,152,23,8
NY,611077527126144,2020,222.85224358664144,59.28550133422499,6.333131967943603,42.5,48.144368,102,20,8
NY,611077710126144,2020,188.84774875384008,126.63744131642184,7.045287561026753,28.2,30.09023,82,23,8
NY,724936911290487,2021,197.15790130714765,122.02129576201608,8.97928181118699,33.3,6.018046,84,21,8
NY,724937272290487,2021,219.10236680349504,122.02982959196592,8.689253915232744,41.5,18.054138,87,22,8
NY,724937282290487,2021,154.56514121359993,93.70342219461624,4.640153846837316,30.6,42.126322,120,22,8
NY,724937336290487,2021,177.90063767479367,94.0050602609202,5.4944881475284735,28.6,36.108276,99,22,8
NY,724937448290487,2021,182.9550225303047,87.29418767805757,6.938240736190025,27.1,18.054138,123,23,8
NY,724937540290487,2021,168.44914917482257,81.55256124295944,6.778133092858374,24.9,12.036092,125,22,8
NY,816199405290487,2022,213.46203647675483,105.3698241845052,4.326804347892725,26,48.144368,85,22,8
NY,816199408290487,2022,170.846512700094,102.17062262600172,7.013223681674157,42.5,24.072184,119,25,8
NY,816199774290487,2022,185.34471991230345,98.94352200804684,6.401023654572011,25.9,36.108276,107,24,8
NY,816199882290487,2022,180.63870834143447,95.27134933578492,5.8751682469396185,30.1,12.036092,128,23,8
NY,816199997290487,2022,273.2335422748002,44.85052797407064,5.074377881177544,22.1,42.126322,123,19,8
NY,1191495787290487,2023,165.40597433008728,77.77470036901103,6.299690468586531,25.9,30.09023,228,23,8
NY,1191495817290487,2023,165.04962770649527,54.58697149838039,5.25772870009284,24.5,36.108276,121,22,8
NY,1191495854290487,2023,194.6169485130391,83.37420571302142,6.979214866627094,50.4,36.108276,82,19,8
NY,1191495939290487,2023,176.90145618973497,121.11670978733302,5.73657415425579,27.2,18.054138,125,21,8
NY,1191495957290487,2023,166.97139900807275,87.91814193708238,5.127455441995765,27.9,30.09023,99,19,8
NY,1191496100290487,2023,150.2576691282875,106.06106441044224,5.492961314203738,31.9,30.09023,118,22,8
