CN,eval_period,LAT,LON,v4_class,v5_class,silc_val,hagan_val
171137460020004,2014-2018,45.17267,-68.5063,Not LSOG,Not LSOG,,
171137461020004,2014-2018,44.501913,-69.149634,Not LSOG,Not LSOG,,
171137462020004,2014-2018,44.44746,-69.41475,Transitioning LS,Not LSOG,,
171137463020004,2014-2018,45.11954,-69.3846,Transitioning LS,Transitioning LS,,
171137464020004,2014-2018,45.05531,-69.41798,Not LSOG,Not LSOG,,
171137465020004,2014-2018,45.07827,-69.62557,Not LSOG,Not LSOG,,
171137466020004,2014-2018,44.86515,-69.77111,Transitioning LS,Transitioning LS,,
171137468020004,2014-2018,43.80892,-70.61034,Not LSOG,Not LSOG,,
171137469020004,2014-2018,43.64735,-70.55777,LS,Transitioning LS,,
171137471020004,2014-2018,46.07537,-68.95256,Not LSOG,Not LSOG,,1
171137473020004,2014-2018,43.75499,-70.82077,Transitioning LS,Transitioning LS,,
171137474020004,2014-2018,43.68409,-70.87732,Not LSOG,Not LSOG,,
171137475020004,2014-2018,45.25897,-69.12843,Transitioning LS,Transitioning LS,,
171137476020004,2014-2018,44.87902,-69.20877,Not LSOG,Not LSOG,,
171137477020004,2014-2018,44.89015,-69.22557,Not LSOG,Not LSOG,,
171137478020004,2014-2018,43.90703,-69.97304,Transitioning LS,Transitioning LS,,
171137479020004,2014-2018,43.82845,-70.21128,Transitioning LS,Transitioning LS,,
171137480020004,2014-2018,46.35269,-69.92032,Not LSOG,Not LSOG,,1
171137481020004,2014-2018,46.15046,-70.08663,Not LSOG,Not LSOG,,1
171137482020004,2014-2018,45.672,-68.2683,Not LSOG,Not LSOG,,1
171137483020004,2014-2018,45.70618,-69.67177,Not LSOG,Not LSOG,,1
171137484020004,2014-2018,45.542099,-69.598127,Not LSOG,Not LSOG,,1
171137485020004,2014-2018,45.489507,-69.835638,Not LSOG,Not LSOG,,2
171137486020004,2014-2018,44.56878,-68.35525,Not LSOG,Not LSOG,,
171137488020004,2014-2018,44.65971,-69.12684,Not LSOG,Not LSOG,,
171137489020004,2014-2018,44.49353,-69.30602,Not LSOG,Not LSOG,,
171137491020004,2014-2018,44.97382,-67.71196,Not LSOG,Not LSOG,,1
171137493020004,2014-2018,44.98175,-68.31046,LS,Transitioning LS,,1
171137495020004,2014-2018,45.65391,-68.14088,Not LSOG,Not LSOG,,1
171137496020004,2014-2018,45.00817,-68.47659,Not LSOG,Not LSOG,,1
171137497020004,2014-2018,44.49605,-68.72895,Not LSOG,Not LSOG,,
171137498020004,2014-2018,44.02668,-69.29658,Transitioning LS,Not LSOG,,
171137499020004,2014-2018,46.0967,-67.91861,Transitioning LS,Not LSOG,,
171137500020004,2014-2018,47.08529,-69.48739,Not LSOG,Not LSOG,1,1
171137501020004,2014-2018,46.5672,-69.7213,LS,LS,2,2
171137502020004,2014-2018,44.14712,-70.91165,Not LSOG,Not LSOG,,
171137503020004,2014-2018,47.21953,-68.76635,Not LSOG,Not LSOG,,1
171137504020004,2014-2018,47.00511,-68.94493,Not LSOG,Not LSOG,,2
171137505020004,2014-2018,46.98189,-69.24086,LS,LS,,3
171137506020004,2014-2018,46.35016,-69.30619,Not LSOG,Not LSOG,1,1
171137507020004,2014-2018,46.38465,-69.49819,Not LSOG,Not LSOG,1,1
171137508020004,2014-2018,46.0535,-69.95988,Not LSOG,Not LSOG,,1
171137509020004,2014-2018,45.82641,-69.72528,Not LSOG,Not LSOG,,1
171137510020004,2014-2018,45.73062,-68.53447,Not LSOG,Not LSOG,,
171137511020004,2014-2018,45.14584,-68.94638,Transitioning LS,Not LSOG,,2
171137512020004,2014-2018,44.89336,-69.34765,Not LSOG,Not LSOG,,
171137513020004,2014-2018,44.31165,-69.65106,Not LSOG,Not LSOG,,
171137516020004,2014-2018,46.95804,-67.93423,Not LSOG,Not LSOG,,3
171137517020004,2014-2018,45.77428,-69.01119,Not LSOG,Not LSOG,,1
171137518020004,2014-2018,45.07786,-68.43251,Not LSOG,Not LSOG,,2
171137519020004,2014-2018,44.19612,-69.35685,Not LSOG,Not LSOG,,
171137520020004,2014-2018,46.17085,-67.85595,Not LSOG,Not LSOG,,
171137521020004,2014-2018,45.86039,-68.10142,Not LSOG,Not LSOG,,1
171137522020004,2014-2018,45.27968,-68.65479,Not LSOG,Not LSOG,,
171137523020004,2014-2018,44.64059,-69.1839,Not LSOG,Not LSOG,,
171137524020004,2014-2018,44.33104,-69.23332,Not LSOG,Not LSOG,,
171137525020004,2014-2018,45.2794,-70.76312,Transitioning LS,Transitioning LS,,1
171137526020004,2014-2018,46.5179,-68.77071,Not LSOG,Not LSOG,,1
171137527020004,2014-2018,46.40589,-69.05846,Not LSOG,Not LSOG,,1
171137528020004,2014-2018,46.11802,-69.30708,Not LSOG,Not LSOG,,1
171137529020004,2014-2018,45.86939,-69.72761,Not LSOG,Not LSOG,,1
171137530020004,2014-2018,45.56468,-69.77216,Transitioning LS,Not LSOG,,1
171137531020004,2014-2018,45.05375,-70.01802,Not LSOG,Not LSOG,,1
171137532020004,2014-2018,44.72886,-70.4873,Not LSOG,Not LSOG,,
171137533020004,2014-2018,44.47701,-70.46535,Transitioning LS,Not LSOG,,
171137534020004,2014-2018,44.04445,-70.15552,Not LSOG,Not LSOG,,
171137535020004,2014-2018,43.65028,-70.72471,Not LSOG,Not LSOG,,
171137536020004,2014-2018,44.9337,-67.35585,Transitioning LS,Not LSOG,,1
171137537020004,2014-2018,44.95066,-67.53303,Not LSOG,Not LSOG,,1
171137538020004,2014-2018,44.64832,-67.60452,Not LSOG,Not LSOG,,
171137539020004,2014-2018,45.10091,-67.89125,Not LSOG,Not LSOG,,2
171137540020004,2014-2018,44.88406,-67.83771,Transitioning LS,Not LSOG,,2
171137541020004,2014-2018,45.44466,-67.69255,Not LSOG,Not LSOG,,1
171137542020004,2014-2018,45.02623,-68.18843,Not LSOG,Not LSOG,,2
171137543020004,2014-2018,45.47238,-67.88829,Not LSOG,Not LSOG,,1
171137544020004,2014-2018,45.4205,-68.11448,Not LSOG,Not LSOG,,1
171137545020004,2014-2018,46.16438,-69.67264,Not LSOG,Not LSOG,1,1
171137546020004,2014-2018,46.3148,-69.54612,Not LSOG,Not LSOG,1,1
171137547020004,2014-2018,46.09442,-69.7283,Not LSOG,Not LSOG,1,1
171137548020004,2014-2018,46.01182,-69.61386,Not LSOG,Not LSOG,,1
171137549020004,2014-2018,45.92388,-69.64079,Not LSOG,Not LSOG,,2
171137550020004,2014-2018,46.02128,-69.79833,Not LSOG,Not LSOG,,1
171137551020004,2014-2018,45.963,-69.85366,Not LSOG,Not LSOG,,2
171137552020004,2014-2018,45.8953,-69.88728,Not LSOG,Not LSOG,,
171137553020004,2014-2018,45.71254,-69.84744,Not LSOG,Not LSOG,,1
171137554020004,2014-2018,45.82038,-69.99844,Not LSOG,Not LSOG,,1
171137555020004,2014-2018,45.74391,-70.02394,Not LSOG,Not LSOG,,1
171137556020004,2014-2018,44.41771,-69.91411,Not LSOG,Not LSOG,,
