classifier,target,predictors,auc,lo,hi
glm,any-LSOG,LIDAR8,0.99,0.988,0.991
glm,any-LSOG,HEIGHT,0.989,0.989,0.99
glm,any-LSOG,STRUCT,0.968,0.964,0.971
glm,LS+OG,LIDAR8,0.983,0.981,0.985
glm,LS+OG,HEIGHT,0.985,0.982,0.986
glm,LS+OG,STRUCT,0.977,0.972,0.98
glm,OG,LIDAR8,0.967,0.921,0.991
glm,OG,HEIGHT,0.912,0.893,0.924
glm,OG,STRUCT,0.973,0.966,0.978
rf,any-LSOG,LIDAR8,0.99,0.988,0.992
rf,any-LSOG,HEIGHT,0.984,0.982,0.987
rf,any-LSOG,STRUCT,0.965,0.961,0.968
rf,LS+OG,LIDAR8,0.987,0.982,0.989
rf,LS+OG,HEIGHT,0.977,0.974,0.979
rf,LS+OG,STRUCT,0.969,0.966,0.972
rf,OG,LIDAR8,0.967,0.952,0.979
rf,OG,HEIGHT,0.913,0.868,0.933
rf,OG,STRUCT,0.975,0.97,0.98
