res,n,hagan,ours_pelz
Debsconeags,196,69,73
Bigelow,49,76,76
Nahmakanta,49,69,67
Spring River Preserve,44,18,59
Baxter State Park,44,41,61
Moose River Number 5 Mountain,40,15,35
St. John Ponds,35,17,37
Deboullie,33,76,82
Big Spencer,32,50,59
Spring River Lake,31,65,71
Duck Lake,26,85,69
Mahoosucs,26,65,88
Big Reed Forest Reserve,25,80,72
Trout Mountain,24,79,67
Gero Island,23,83,83
Mt. Abraham,23,35,57
Number 5 Bog,22,0,32
Donnell Pond,18,50,78
Wassataquoik,17,94,88
Chamberlain Lake,16,94,94
Bradley Sunkhaze,16,12,38
Great Heath,13,38,62
Rocky Lake,9,44,56
Forest City,8,100,75
