res,p_lsog
Bigelow,0.337
Bigelow,0.523
Bigelow,1
Salmon Brook Lake,0.462
Salmon Brook Lake,0.392
Salmon Brook Lake,0.462
Salmon Brook Lake,0.523
Salmon Brook Lake,0.462
Salmon Brook Lake,0.642
Salmon Brook Lake,0.472
Salmon Brook Lake,1
Salmon Brook Lake,0.462
Salmon Brook Lake,0.472
Salmon Brook Lake,0.472
Salmon Brook Lake,0.392
Salmon Brook Lake,0.392
Salmon Brook Lake,0.337
Spring River Lake,0.42
Spring River Lake,0.42
Spring River Lake,0.462
Spring River Lake,0.472
Spring River Lake,0.212
Spring River Lake,0.462
Spring River Lake,0.293
Spring River Lake,1
Spring River Lake,0.293
Spring River Lake,0.337
Spring River Lake,0.337
Spring River Lake,0.25
Spring River Lake,0.42
Spring River Lake,1
Spring River Lake,0.25
Spring River Lake,0.523
Spring River Lake,0.215
Spring River Lake,0.472
Spring River Lake,0.523
Spring River Lake,0.392
Spring River Lake,0.472
Spring River Lake,1
Spring River Lake,0.642
Spring River Lake,1
Spring River Lake,0.312
Spring River Lake,0.312
Spring River Lake,0.25
Spring River Lake,1
Spring River Lake,1
Spring River Lake,0.472
Bigelow,0.392
Bigelow,0.523
Bigelow,0.42
Bigelow,0.462
Bigelow,0.42
Bigelow,0.365
Bigelow,0.462
Bigelow,1
Bigelow,0.42
Bigelow,0.958
Bigelow,1
Bigelow,0.642
Bigelow,1
Bigelow,0.523
Bigelow,1
Bigelow,0.472
Bigelow,1
Bigelow,0.25
Bigelow,1
Bigelow,0.462
Bigelow,1
Bigelow,0.25
Bigelow,0.642
Bigelow,0.42
Bigelow,0.392
Bigelow,0.472
Bigelow,0.462
Bigelow,0.337
Bigelow,0.42
Bigelow,0.337
Bigelow,0.392
Bigelow,0.213
Bigelow,1
Bigelow,0.472
Bigelow,0.523
Bigelow,0.472
Bigelow,0.472
Bigelow,0.462
Bigelow,0.462
Bigelow,0.42
Bigelow,0.642
Bigelow,0.523
Bigelow,0.462
Bigelow,0.462
Bigelow,0.958
Donnell Pond,0.392
Donnell Pond,0.392
Donnell Pond,0.462
Donnell Pond,0.523
Donnell Pond,1
Donnell Pond,0.392
Donnell Pond,0.337
Donnell Pond,0.392
Donnell Pond,0.472
Donnell Pond,0.472
Donnell Pond,0.25
Donnell Pond,0.337
Donnell Pond,1
Donnell Pond,1
Donnell Pond,0.365
Donnell Pond,0.392
Donnell Pond,0.365
Donnell Pond,0.472
Duck Lake,0.462
Duck Lake,0.365
Duck Lake,0.365
Duck Lake,0.275
Duck Lake,0.523
Duck Lake,0.42
Duck Lake,0.642
Duck Lake,0.392
Duck Lake,1
Duck Lake,1
Deboullie,0.392
Deboullie,0.392
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,0.42
Deboullie,0.365
Deboullie,0.462
Deboullie,0.523
Duck Lake,0.365
Duck Lake,0.523
Duck Lake,0.42
Duck Lake,0.365
Duck Lake,0.42
Duck Lake,0.42
Duck Lake,0.392
Duck Lake,0.365
Duck Lake,0.462
Duck Lake,0.392
Duck Lake,0.642
Duck Lake,0.642
Duck Lake,1
Duck Lake,1
Duck Lake,1
Duck Lake,1
Rocky Lake,0.958
Rocky Lake,1
Rocky Lake,0.392
Rocky Lake,0.42
Deboullie,0.462
Deboullie,0.472
Deboullie,0.472
Deboullie,0.365
Deboullie,0.392
Deboullie,0.392
Deboullie,0.642
Deboullie,1
Deboullie,0.472
Rocky Lake,0.392
Rocky Lake,1
Rocky Lake,0.212
Rocky Lake,0.42
Deboullie,0.462
Deboullie,0.365
Deboullie,0.213
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,1
Deboullie,0.642
Deboullie,0.462
Deboullie,0.392
Rocky Lake,0.523
Rocky Lake,0.365
Gero Island,1
Gero Island,0.642
Gero Island,1
Gero Island,1
Gero Island,0.462
Gero Island,0.392
Gero Island,0.642
Gero Island,0.472
Gero Island,0.472
Gero Island,0.392
Gero Island,0.392
Gero Island,0.472
Gero Island,0.642
Gero Island,1
Gero Island,0.472
Gero Island,0.462
Gero Island,0.462
Gero Island,0.392
Gero Island,0.472
Gero Island,0.462
Gero Island,0.462
Gero Island,0.472
Gero Island,0.365
Mt. Abraham,0.462
Mt. Abraham,0.392
Mt. Abraham,0.365
Mt. Abraham,0.365
Mt. Abraham,0.21
Mt. Abraham,0.472
Mt. Abraham,0.392
Mt. Abraham,0.392
Mt. Abraham,0.958
Mt. Abraham,1
Mt. Abraham,0.337
Mt. Abraham,0.392
Mt. Abraham,0.328
Mt. Abraham,1
Mt. Abraham,1
Mt. Abraham,0.462
Mt. Abraham,0.42
Mt. Abraham,0.21
Mt. Abraham,0.462
Mt. Abraham,0.523
Mt. Abraham,0.523
Mt. Abraham,0.42
Mt. Abraham,0.472
Mt. Abraham,0.392
Mt. Abraham,0.392
Mt. Abraham,1
Mt. Abraham,0.392
Mt. Abraham,1
Mt. Abraham,0.337
Mt. Abraham,0.42
Mt. Abraham,0.42
Mt. Abraham,0.42
Cutler,0.392
Cutler,0.42
Cutler,0.523
Cutler,0.462
Cutler,0.25
Appleton Bog,1
Appleton Bog,0.392
Appleton Bog,1
Appleton Bog,0.392
Appleton Bog,0.462
Appleton Bog,0.462
Appleton Bog,1
Appleton Bog,0.642
Appleton Bog,0.948
Appleton Bog,0.462
Appleton Bog,1
Appleton Bog,0.392
Appleton Bog,1
Appleton Bog,0.2
Appleton Bog,1
Appleton Bog,0.365
Debsconeags,0.462
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,0.392
Debsconeags,0.418
Debsconeags,0.132
Debsconeags,0.462
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,0.392
Debsconeags,0.3
Debsconeags,0.172
Debsconeags,0.392
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.462
Debsconeags,0.3
Debsconeags,0.177
Debsconeags,0.462
Debsconeags,0.462
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.392
Debsconeags,0.392
Debsconeags,0.383
Debsconeags,0.392
Debsconeags,0.383
Debsconeags,1
Debsconeags,0.293
Debsconeags,0.617
Debsconeags,1
Debsconeags,0.087
Debsconeags,0.365
Debsconeags,0.313
Debsconeags,0.308
Debsconeags,0.093
Debsconeags,0.597
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.365
Debsconeags,0.207
Debsconeags,0.207
Debsconeags,1
Debsconeags,0.948
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.462
Debsconeags,0.293
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.642
Debsconeags,0.642
Debsconeags,1
Debsconeags,0.42
Debsconeags,0.42
Debsconeags,0.213
Debsconeags,0.472
Debsconeags,0.523
Debsconeags,0.392
Debsconeags,1
Debsconeags,0.365
Debsconeags,0.392
Debsconeags,0.392
Debsconeags,1
Debsconeags,1
Debsconeags,0.642
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.365
Debsconeags,0.293
Debsconeags,0.312
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.365
Debsconeags,0.948
Debsconeags,0.392
Debsconeags,0.42
Debsconeags,1
Debsconeags,0.392
Debsconeags,0.642
Debsconeags,0.472
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.642
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,0.672
Debsconeags,0.865
Debsconeags,0.375
Debsconeags,0.598
Debsconeags,0.037
Debsconeags,0.642
Debsconeags,1
Debsconeags,0.462
Debsconeags,0.392
Debsconeags,0.375
Debsconeags,0.42
Debsconeags,0.392
Debsconeags,0.462
Debsconeags,0.087
Debsconeags,0.462
Debsconeags,1
Debsconeags,0.392
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.642
Debsconeags,0.392
Debsconeags,0.447
Debsconeags,0.462
Kennebec Estuary Sites,0.642
Kennebec Estuary Sites,0.462
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Debsconeags,1
Debsconeags,0.365
Debsconeags,1
Debsconeags,0.642
Debsconeags,0.365
Debsconeags,0.642
Debsconeags,1
Debsconeags,1
Debsconeags,0.462
Debsconeags,0.472
Debsconeags,0.523
Debsconeags,0.472
Debsconeags,0.365
Debsconeags,0.462
Debsconeags,0.472
Debsconeags,0.462
Debsconeags,0.642
Debsconeags,0.31
Debsconeags,0.338
Debsconeags,0.355
Debsconeags,0.365
Debsconeags,0.472
Debsconeags,0.365
Debsconeags,0.392
Debsconeags,0.392
Debsconeags,0.472
Debsconeags,0.635
