PLT_CN,state,INVYR,STDAGE,big_trees_per_ac,pelz_og,FORTYPCD,OWNCD,eval_period,v51_class,v51_total,v51_og,v51_lsog,v51_any
1184860075290487,ME,2023,60,18.054138,FALSE,708,11,2019-2023,Not LSOG,1,FALSE,FALSE,FALSE
1184860312290487,ME,2023,128,126.378966,TRUE,801,11,2019-2023,LS,7,FALSE,TRUE,TRUE
1184860761290487,ME,2023,60,12.036092,FALSE,801,11,2019-2023,Not LSOG,2,FALSE,FALSE,FALSE
1184860763290487,ME,2023,87,24.072184,FALSE,809,11,2019-2023,Not LSOG,2,FALSE,FALSE,FALSE
1184860764290487,ME,2023,96,66.198506,FALSE,801,11,2019-2023,LS,6,FALSE,TRUE,TRUE
1184860765290487,ME,2023,100,132.397012,TRUE,104,11,2019-2023,Transitioning LS,4,FALSE,FALSE,TRUE
1184860766290487,ME,2023,77,12.036092,FALSE,123,11,2019-2023,Not LSOG,1,FALSE,FALSE,FALSE
1191484796290487,NH,2023,111,0,FALSE,123,11,2019-2023,Transitioning LS,4,FALSE,FALSE,TRUE
1191484797290487,NH,2023,117,24.072184,TRUE,105,11,2019-2023,Not LSOG,2,FALSE,FALSE,FALSE
1191484798290487,NH,2023,94,90.27069,FALSE,105,11,2019-2023,Transitioning LS,5,FALSE,FALSE,TRUE
1191484812290487,NH,2023,89,36.108276,FALSE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484828290487,NH,2023,94,24.072184,FALSE,801,11,2019-2023,Not LSOG,2,FALSE,FALSE,FALSE
1191484833290487,NH,2023,105,12.036092,TRUE,124,11,2019-2023,Not LSOG,2,FALSE,FALSE,FALSE
1191484834290487,NH,2023,104,36.108276,TRUE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484835290487,NH,2023,97,0,FALSE,124,11,2019-2023,LS,6,FALSE,TRUE,TRUE
1191484836290487,NH,2023,91,48.144368,FALSE,801,11,2019-2023,Transitioning LS,4,FALSE,FALSE,TRUE
1191484839290487,NH,2023,85,48.144368,FALSE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484870290487,NH,2023,97,48.144368,FALSE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484871290487,NH,2023,88,12.036092,FALSE,801,11,2019-2023,Transitioning LS,5,FALSE,FALSE,TRUE
1191484880290487,NH,2023,69,24.072184,FALSE,121,11,2019-2023,Transitioning LS,5,FALSE,FALSE,TRUE
1191484882290487,NH,2023,83,48.144368,FALSE,124,11,2019-2023,Transitioning LS,5,FALSE,FALSE,TRUE
1191484890290487,NH,2023,114,60.18046,TRUE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484891290487,NH,2023,92,54.162414,FALSE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484892290487,NH,2023,87,0,FALSE,124,11,2019-2023,Not LSOG,2,FALSE,FALSE,FALSE
1191484893290487,NH,2023,82,24.072184,FALSE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
1191484909290487,NH,2023,68,24.072184,FALSE,801,11,2019-2023,Not LSOG,1,FALSE,FALSE,FALSE
1191484910290487,NH,2023,84,30.09023,FALSE,801,11,2019-2023,Not LSOG,1,FALSE,FALSE,FALSE
1191484911290487,NH,2023,89,48.144368,FALSE,801,11,2019-2023,Not LSOG,3,FALSE,FALSE,FALSE
