v4_class,n_TM_IDs,pixels,acres,pct,year,state
Not LSOG,2676,67914840,15103852.92696,91.59,2020,ME
Transitioning LS,424,5485678,1219981.873132,7.4,2020,ME
LS,33,512481,113972.699514,0.69,2020,ME
Unknown,359,234269,52100.019986,0.32,2020,ME
Not LSOG,2379,16352316,3636656.964504,77.89,2020,NH
Transitioning LS,442,3054593,679323.155642,14.55,2020,NH
Unknown,605,1335451,296996.289694,6.36,2020,NH
LS,52,252537,56162.713578,1.2,2020,NH
OG,1,15,3.33591,0,2020,NH
Not LSOG,2443,16750029,3725105.949426,82.52,2020,VT
Transitioning LS,511,3082259,685475.908046,15.19,2020,VT
Unknown,708,270523,60162.692062,1.33,2020,VT
LS,54,192501,42811.067394,0.95,2020,VT
OG,5,2109,469.028946,0.01,2020,VT
Not LSOG,2247,53085704,11805942.055376,62.75,2020,NY
Unknown,3503,19982186,4443918.273284,23.62,2020,NY
Transitioning LS,463,10529867,2341779.241598,12.45,2020,NY
LS,56,890037,197938.888578,1.05,2020,NY
OG,3,104383,23214.152902,0.12,2020,NY
Not LSOG,2728,67828834,15084725.708596,91.68,2022,ME
Transitioning LS,424,5413264,1203877.434016,7.32,2022,ME
LS,34,495032,110092.146608,0.67,2022,ME
Unknown,365,245024,54491.867456,0.33,2022,ME
Not LSOG,2408,16356788,3637651.510472,77.92,2022,NH
Transitioning LS,449,3040400,676166.7176,14.48,2022,NH
Unknown,627,1348641,299929.666554,6.42,2022,NH
LS,52,244788,54439.382472,1.17,2022,NH
OG,1,18,4.003092,0,2022,NH
Not LSOG,2461,16757522,3726772.347668,82.5,2022,VT
Transitioning LS,514,3065697,681792.618618,15.09,2022,VT
Unknown,732,298676,66423.750344,1.47,2022,VT
LS,54,188557,41933.945458,0.93,2022,VT
OG,4,2410,535.96954,0.01,2022,VT
Not LSOG,2305,52882299,11760706.003806,62.43,2022,NY
Unknown,3589,20352540,4526282.78076,24.03,2022,NY
Transitioning LS,476,10502046,2335592.018124,12.4,2022,NY
LS,59,870465,193586.19321,1.03,2022,NY
OG,5,104468,23233.056392,0.12,2022,NY
