v51_class,n_TM_IDs,pixels,acres,pct,year,state
Unknown (PLT_CN not in unified),2170,37730650,8391070.1761,50.18125321324726,2020,ME
Transitioning LS,231,3935039,875129.0633660001,5.23354854642057,2020,ME
Not LSOG,1083,33245109,7393512.770946001,44.21554446666054,2020,ME
OG,3,30310,6740.76214,0.040311889270222605,2020,ME
LS,25,247628,55070.981432,0.3293418844014082,2020,ME
Unknown (PLT_CN not in unified),2196,37576423,8356771.016662001,50.08182520554862,2022,ME
Transitioning LS,231,3861204,858708.602376,5.146209467861407,2022,ME
Not LSOG,1114,33320180,7410208.11092,44.40910808826633,2022,ME
OG,3,29086,6468.551884,0.03876579651896582,2022,ME
LS,26,243166,54078.659404000005,0.32409144180467725,2022,ME
