state,eval_period,eval_year,n_plots,pct_trans,pct_ls,pct_og,pct_ls_og,pct_all_lsog,pct_trans_lo,pct_trans_hi,pct_ls_lo,pct_ls_hi,pct_og_lo,pct_og_hi,pct_lsog_lo,pct_lsog_hi,acres_trans,acres_ls,acres_og,acres_ls_og,acres_all_lsog,ac_trans_lo,ac_trans_hi,ac_ls_lo,ac_ls_hi,ac_og_lo,ac_og_hi,ac_lsog_lo,ac_lsog_hi,ac_all_lo,ac_all_hi,snag_thresh_1,snag_thresh_2,has_expns
ME,1999-2003,2001,3182,14.04776869893149,2.7027027027027026,0.06285355122564425,2.765556253928347,16.813324952859837,12.85355122564425,15.242771841609047,2.1370207416719045,3.236957888120679,0,0.15713387806411064,2.1998742928975488,3.331238214959145,2398622.089754871,457432.9493400377,11062.225015713388,468495.1743557511,2867117.264110622,2198979.3476807037,2607558.3919421746,362906.35121307353,549481.2261722187,0,27655.56253928347,373265.59187932115,563624.8013324954,2644429.7631929605,3093591.0284977993,36,54,FALSE
ME,2004-2008,2006,3161,14.583992407465992,2.689022461246441,0.03163555836760519,2.720658019614046,17.304650427080038,13.35020563112939,15.849414742170199,2.1512179689971527,3.2584625118633346,0,0.09490667510281556,2.1512179689971527,3.2900980702309393,2468761.6268269536,457553.7310977539,5567.858272698513,463121.58937045245,2931883.2161974064,2259521.6848465675,2682489.1439797534,365256.1180259412,554452.3459411578,0,16703.57481809554,369819.72466940846,563052.1412084784,2713218.0449351473,3157584.870104397,36,54,FALSE
ME,2009-2013,2011,3171,14.380321665089877,2.7751497950173447,0.12614317250078838,2.901292967518133,17.28161463260801,13.245033112582782,15.610217596972564,2.239041311888994,3.3751182592242155,0.031535793125197095,0.28382213812677387,2.3651844843897827,3.532008830022075,2409438.939892778,471259.57590665406,21652.54014506465,492912.1160517187,2902351.0559444968,2210604.8369851783,2618164.7770167133,379411.63007253234,574971.2348029013,5001.64137496058,48306.72166508988,399906.19109429204,598782.5129107536,2692057.3672784613,3126501.446067487,36,54,FALSE
ME,2014-2018,2016,3150,14.222222222222221,3.5238095238095237,0.2222222222222222,3.7460317460317456,17.96825396825397,13.046825396825396,15.492063492063494,2.888888888888889,4.158730158730159,0.06349206349206349,0.41269841269841273,3.1103174603174604,4.380952380952381,2352742.8794920635,600526.1526349207,38558.795174603176,639084.9478095239,2991827.8273015874,2155537.818831746,2560626.066323809,492796.2917079365,709483.8318857143,11174.603174603175,70977.97282539684,528574.6605333333,753102.3101206349,2768780.0373968254,3216409.45008254,36,54,FALSE
ME,2019-2023,2021,3125,16.416,3.7760000000000002,0.22399999999999998,4,20.416,15.1352,17.663999999999998,3.136,4.4799999999999995,0.064,0.416,3.36,4.704,2719114.2528,635270.079488,38867.265536,674137.345024,3393251.597824,2509602.6650111997,2932134.4166400004,527825.8463104,753435.5176831998,11264,72116.44943359992,560011.7378943999,793991.4785791999,3151087.1156864,3626763.212441599,36,54,FALSE
NH,1999-2003,2001,258,20.54263565891473,2.3255813953488373,0,2.3255813953488373,22.868217054263564,15.891472868217054,25.581395348837212,0.7751937984496124,4.263565891472868,0,0,0.7751937984496124,4.263565891472868,941592.0186046512,111410.51162790698,0,111410.51162790698,1053002.5302325583,722975.0032558141,1174516.3344186046,36991.90697674418,204433.76744186046,0,0,36991.90697674418,204433.76744186046,830563.0027906977,1292906.4251162792,42,84,FALSE
NH,2004-2008,2006,779,23.106546854942234,2.6957637997432604,0.12836970474967907,2.8241335044929397,25.930680359435172,20.025673940949936,25.9338896020539,1.6688061617458279,3.8510911424903727,0,0.38510911424903727,1.6688061617458279,3.979460847240052,1077922.2593068036,128934.86418485238,4401.93889602054,133336.80308087292,1211259.0623876767,936140.414326059,1215584.890937099,79323.09935815148,184000.77843388962,0,13205.816688061619,80102.69576379974,188792.51553273428,1060391.0024133504,1360465.2579204107,42,84,FALSE
NH,2009-2013,2011,951,30.38906414300736,3.680336487907466,0,3.680336487907466,34.06940063091483,27.23449001051525,33.44111461619347,2.5236593059936907,4.942166140904311,0,0,2.5236593059936907,4.942166140904311,1419517.5318611988,167567.7375394322,0,167567.7375394322,1587085.269400631,1275045.51659306,1567184.5459936906,116749.5443533123,225366.50372239744,0,0,116749.5443533123,225366.50372239744,1446523.83659306,1739166.0527444796,42,84,FALSE
NH,2014-2018,2016,748,34.35828877005348,4.144385026737968,0.1336898395721925,4.27807486631016,38.63636363636363,31.016042780748666,37.967914438502675,2.807486631016043,5.614973262032086,0,0.4010695187165776,2.941176470588235,5.748663101604278,1591557.5229946524,181548.57112299465,6417.1122994652405,187965.6834224599,1779523.2064171124,1437387.5870053475,1760629.2044919785,123346.89320855615,249342.21016042776,0,19251.336898395723,129622.39668449198,258152.3292513368,1627756.3317112299,1945987.8962566843,42,84,FALSE
NH,2019-2023,2021,757,38.17701453104359,5.9445178335535,0.13210039630118892,6.07661822985469,44.253632760898284,34.61030383091149,41.611624834874505,4.227212681638045,7.661822985468956,0,0.3963011889035667,4.359313077939234,7.797225891677657,1775810.4095112286,270977.92549537646,6340.819022457067,277318.7445178335,2053129.154029062,1611140.751281374,1938497.5252311756,192025.02752972257,350210.8682694848,0,19022.4570673712,197349.39899603697,359115.86472919415,1891143.8951651254,2219437.318573315,42,84,FALSE
